title,chapter,date,url,chapter_url,annotation_url,highlight,note
"Natural Language Processing with Transformers, Revised Edition",11. Future Directions,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch11.html,https://learning.oreilly.com/library/view/-/9781098136789/ch11.html#be2564fc-cd80-4d63-961d-cce4678708a6,"Modality
Language models have no way to connect to other modalities that could address the previous points, such as audio or visual signals or tabular data.",
"Natural Language Processing with Transformers, Revised Edition",11. Future Directions,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch11.html,https://learning.oreilly.com/library/view/-/9781098136789/ch11.html#80ad90a1-fba4-4c7e-8912-77edf4867be0,"Facts
A probabilistic language model cannot store facts in a reliable way and can produce text that is factually wrong. Similarly, such models can detect named entities, but have no direct way to access information about them.",
"Natural Language Processing with Transformers, Revised Edition",11. Future Directions,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch11.html,https://learning.oreilly.com/library/view/-/9781098136789/ch11.html#d18788ca-d3b7-4bec-b9a3-a0e070ce34fc,"Common sense
Common sense is a fundamental quality of human reasoning, but is rarely written down. As such, language models trained on text might know many facts about the world, but lack basic common-sense reasoning.",
"Natural Language Processing with Transformers, Revised Edition",11. Future Directions,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch11.html,https://learning.oreilly.com/library/view/-/9781098136789/ch11.html#19e1a225-6683-4d03-b998-b87e647256c2,"Human reporting bias
The frequencies of events in text may not represent their true frequencies.9 A model solely trained on text from the internet might have a very distorted image of the world.",
"Natural Language Processing with Transformers, Revised Edition",10. Training Transformers from Scratch,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html#e275e7d6-e1a2-416c-a062-fc779ce8d49c,"Note that we can compute the perplexity by exponentiating the cross-entropy loss which we get from the model’s output. Especially at the start of training when the loss is still high, it is possible to get a numerical overflow when calculating the perplexity. We catch this error and set the perplexity to infinity in these instances.",
"Natural Language Processing with Transformers, Revised Edition",10. Training Transformers from Scratch,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html#5b981420-b1b3-41c5-9ea9-3d454ac273d4,Coverage metrics like the proportion of unknown words or rarely used tokens in a tokenized corpus,
"Natural Language Processing with Transformers, Revised Edition",10. Training Transformers from Scratch,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html#7bc89d8c-74be-4326-99ef-5a2f46680e5f,"Proportion of continued words, which refers to the proportion of tokenized words in a corpus that are split into at least two subtokens",
"Natural Language Processing with Transformers, Revised Edition",10. Training Transformers from Scratch,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html#a688f830-776b-4c2f-b143-129d3333bfe3,"Subword fertility, which calculates the average number of subwords produced per tokenized word",
"Natural Language Processing with Transformers, Revised Edition",10. Training Transformers from Scratch,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html#1455746d-2120-47fd-860f-5aad671988e1,"Unigram starts from the other end, by initializing its base vocabulary with all the words in the corpus, and potential subwords. Then it progressively removes or splits the less useful tokens to obtain a smaller and smaller vocabulary, until the target vocabulary size is reached. WordPiece is a predecessor of Unigram, and its official implementation was never open-sourced by Google.",
"Natural Language Processing with Transformers, Revised Edition",10. Training Transformers from Scratch,2022-07-31,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html#627c4f9b-f446-4ab3-8a39-5c3c092ebd8b,BPE starts from a list of basic units (single characters) and creates a vocabulary by a process of progressively creating new tokens formed by merging the most frequently co-occurring basic units and adding them to the vocabulary. This process is reiterated until a predefined vocabulary size is reached.,
"Natural Language Processing with Transformers, Revised Edition",10. Training Transformers from Scratch,2022-07-30,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html,https://learning.oreilly.com/library/view/-/9781098136789/ch10.html#95e0b3ab-8e94-4f23-b63b-b6ad8ffc4116,The decision to train from scratch rather than fine-tune an existing model is mostly dictated by the size of your fine-tuning corpus and the domain differences between the available pretrained models and the corpus.,
"Natural Language Processing with Transformers, Revised Edition",9. Dealing with Few to No Labels,2022-07-27,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch09.html,https://learning.oreilly.com/library/view/-/9781098136789/ch09.html#4a8cfe36-cd87-4bbd-9a8c-5bfcb16b1710,"Another promising method to leverage unlabeled data is uncertainty-aware self-training (UST). The idea here is to train a teacher model on the labeled data and then use that model to create pseudo-labels on the unlabeled data. Then a student is trained on the pseudo-labeled data, and after training it becomes the teacher for the next iteration.",
"Natural Language Processing with Transformers, Revised Edition",9. Dealing with Few to No Labels,2022-07-27,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch09.html,https://learning.oreilly.com/library/view/-/9781098136789/ch09.html#8a3b6e89-0a21-442c-85d5-e2b14b1e8b52,"The performance of this approach is quite impressive: with a handful of labeled examples, BERT models trained with UDA get similar performance to models trained on thousands of examples. The downside is that you need a data augmentation pipeline, and training takes much longer since you need multiple forward passes to generate the predicted distributions on the unlabeled and augmented examples.",
"Natural Language Processing with Transformers, Revised Edition",9. Dealing with Few to No Labels,2022-07-27,https://learning.oreilly.com/library/view/-/9781098136789/,https://learning.oreilly.com/library/view/-/9781098136789/ch09.html,https://learning.oreilly.com/library/view/-/9781098136789/ch09.html#c4eee892-86e3-4b23-ba56-331eeb74ba09,The key idea behind unsupervised data augmentation (UDA) is that a model’s predictions should be consistent for an unlabeled example and a slightly distorted one. Such distortions are introduced with standard data augmentation strategies such as token replacement and back translation. Consistency is then enforced by minimizing the KL divergence between the predictions of the original and distorted examples.,
